,toxic
1599,0
3567,1
3255,0
5428,1
7755,1
3980,0
5686,1
3397,1
5221,0
6253,1
3539,1
3116,0
7610,0
3080,1
1682,1
6298,1
2458,0
1131,0
4577,1
885,1
3282,0
6683,0
3884,0
2289,1
2073,1
1217,0
6939,0
5758,1
3043,1
5698,1
7753,1
7192,0
1487,0
6188,1
3081,1
2690,1
2901,1
6832,1
7279,1
4471,1
1146,0
416,0
2978,1
6385,1
2642,1
6637,1
6066,1
6631,1
4263,1
431,0
6688,1
7370,1
3316,1
5352,1
3849,1
2709,1
285,0
645,1
47,0
4114,0
981,1
4463,1
366,0
2385,1
6770,0
674,1
80,1
5345,1
2311,1
2639,1
7494,0
7731,1
4190,1
3806,1
1072,0
2734,1
5154,0
2337,1
1902,0
6865,1
6946,1
5134,1
5388,1
1247,0
5102,1
3225,1
7319,0
5529,1
1931,0
1740,1
4987,1
5848,1
4124,0
3896,0
2200,0
4312,1
5393,1
5294,1
7570,1
5086,1
7562,1
1757,1
5648,1
7412,0
2715,1
5944,1
2567,1
5096,0
605,1
975,1
601,1
2806,1
5533,1
6437,1
2906,1
4938,0
4108,1
1707,0
6702,1
1341,1
6594,1
4954,1
7215,0
2080,1
4216,0
5924,1
334,0
6947,0
3519,1
5656,1
6672,1
5916,1
6114,1
2117,1
6458,0
4192,0
6349,1
6928,1
348,1
4100,1
5709,1
3850,1
4727,0
3230,1
1098,1
7253,1
7267,1
4489,1
2122,0
3777,1
6602,1
1001,0
1375,1
5965,1
6126,0
1886,1
1065,1
1243,1
2449,0
6925,1
2856,0
4272,1
5402,1
1302,0
5187,0
5343,1
1963,1
2511,1
3142,1
7006,0
101,1
2600,1
5367,1
1280,1
4023,0
2582,1
3574,0
4887,1
6484,1
4477,1
309,1
2972,0
3253,0
6831,0
4374,1
7718,1
2053,1
1016,1
5048,0
1874,1
5117,1
3993,1
785,0
4528,1
5715,1
7573,1
6518,1
345,1
1139,1
3992,1
5269,1
5473,0
5736,1
3507,0
3722,1
2576,1
7711,0
2669,1
5516,1
5937,0
4942,0
3161,1
5747,1
1994,1
6101,1
2502,1
4269,1
2852,1
2223,1
4381,0
186,1
1728,1
4236,1
525,1
4785,1
7558,1
797,1
5672,1
3512,1
1753,1
954,1
3968,1
6462,1
2249,1
5482,0
6412,1
3155,0
5765,1
5004,1
4824,0
3396,0
7695,1
3855,1
714,1
4193,1
4717,0
7677,0
5160,0
1557,1
7252,1
7272,1
7644,1
1057,0
7528,1
1313,0
483,1
5403,1
3391,1
3913,0
2708,0
4973,1
1993,1
2509,1
297,1
928,1
2430,0
3087,1
7474,0
438,1
132,0
5505,1
2890,1
3804,1
6248,1
6067,0
1768,1
5949,0
3509,1
367,1
2260,1
1289,1
7593,1
2189,1
415,0
2882,0
7531,0
343,1
6581,1
5041,1
6343,1
6657,1
3608,1
3233,1
205,1
6232,1
3964,0
7376,1
85,1
6842,1
4481,1
1733,1
3797,1
4427,1
3945,0
5521,1
3162,1
1799,1
6460,0
1563,1
2459,0
7054,1
2869,1
3021,1
1636,1
2728,1
4892,1
267,1
7607,1
4348,0
5012,1
985,1
1493,1
1050,1
1323,1
4742,1
1301,1
5223,1
7375,1
5296,1
2036,1
2950,1
4208,0
6675,1
1043,1
3420,0
2535,1
2786,1
1746,0
5401,1
5788,1
6944,1
2538,1
4495,1
3377,0
4336,1
2129,0
3385,1
2963,1
518,1
2340,1
7770,1
6927,1
1162,0
1354,1
3243,0
596,1
4706,1
819,0
4877,1
3224,0
252,0
1232,1
4116,1
3096,1
3023,1
7088,1
7010,1
4423,1
5605,1
2696,1
5425,1
4320,0
4922,1
149,1
5029,1
5896,1
7810,0
364,1
5770,0
63,0
4058,1
2286,1
2054,1
380,1
1806,1
1079,1
1626,1
2873,1
7423,1
3477,1
5344,1
7668,1
2662,0
6344,1
1679,0
2925,1
3675,1
7741,0
4741,0
668,1
6041,0
2941,1
7622,1
1723,1
6817,1
1570,1
4841,1
1398,0
5183,0
2578,1
4473,1
2652,0
876,1
3296,0
5375,1
913,0
1124,0
6917,1
2921,1
7216,1
4813,1
1173,1
2157,1
7502,1
5918,1
7818,0
3579,1
4338,1
4507,1
1783,1
1345,1
7552,1
2757,1
2811,0
6965,0
7763,0
2718,1
4396,1
6016,1
3061,1
6896,0
3782,1
2976,1
4389,0
4255,0
5811,0
1913,0
5340,1
412,1
2131,0
5198,0
7792,1
4298,0
3582,1
6234,1
2962,1
1269,1
2967,1
5745,0
3497,1
2506,1
2817,1
1587,0
685,1
5597,0
4197,0
3064,1
4445,1
497,1
7538,1
4678,0
4051,1
4334,0
3238,0
4940,1
3458,1
2354,1
6562,1
7801,1
6630,1
3972,0
5879,0
4119,1
7356,0
3219,1
5095,0
4800,0
6800,0
1245,1
6598,1
1790,1
7759,1
3036,1
3035,1
327,0
5413,1
2969,1
3831,1
3067,1
4870,1
1145,1
3158,1
1048,1
4324,1
2586,0
2888,1
325,1
5873,0
5226,1
9,1
2419,1
6661,0
5463,0
3128,1
3019,1
4593,1
4343,1
7440,1
1432,1
6081,1
6346,0
1611,0
6785,1
369,0
5782,1
2960,0
1602,0
5827,0
4541,0
6491,0
7617,0
7686,0
4342,0
1850,1
983,1
6991,0
7736,1
3566,1
442,0
2386,1
2824,0
5661,1
6588,0
2971,1
7386,1
1925,0
2201,0
6882,1
4549,1
74,1
1349,1
7149,1
1694,0
4645,1
225,0
2251,1
5107,1
2699,1
747,1
969,1
3970,0
3368,0
1536,1
1474,1
4783,0
720,1
2845,0
3126,0
360,1
1796,1
5204,0
4073,1
6400,0
4096,1
7600,1
6730,0
1382,1
2143,1
2528,1
4011,1
6990,0
7378,1
2232,1
2944,1
1633,1
4041,1
706,0
2636,1
24,1
2063,1
3994,1
4468,0
7015,1
4586,1
3807,1
7235,1
3329,0
7232,0
3843,1
1446,0
4647,1
673,1
4125,0
5609,0
3848,0
352,1
2664,1
7005,1
5496,1
6183,0
1271,1
4270,1
3268,1
388,0
696,1
5875,0
4714,1
6483,0
6315,0
7373,1
7774,1
1025,1
1955,1
660,1
3074,1
86,0
1473,1
62,1
4930,0
5995,1
4026,1
1721,0
1559,1
5893,0
1560,1
5839,1
1881,1
7137,1
514,1
6768,1
3921,1
4640,1
6752,1
6522,1
5682,0
5446,0
850,1
686,1
7236,1
956,1
1741,1
2278,1
1095,0
5711,1
6663,0
5354,1
4957,1
3310,1
5506,1
6818,1
5222,1
7803,1
4143,1
4590,0
5397,1
5559,1
4491,1
3967,1
7654,1
4932,1
6914,1
5049,1
1219,0
2929,1
302,1
1002,1
1575,0
5990,1
7275,1
7126,0
1582,0
6643,1
7829,1
3526,0
4631,1
6639,0
6988,1
4446,1
6195,1
6147,1
756,0
7076,1
3205,1
6686,0
4884,1
1329,1
417,1
2065,1
4086,1
7258,0
6910,1
102,1
5779,1
4203,1
2090,1
5917,1
5363,1
241,1
7301,1
7432,0
3894,1
5419,1
1529,1
1842,0
7513,1
7388,0
4881,0
7036,1
1040,1
7268,1
3332,1
656,1
5942,0
5907,0
4601,1
6472,1
3503,1
1250,1
5647,0
28,0
3404,1
6214,1
7664,1
3916,0
6972,1
178,0
248,1
2791,0
827,0
2457,0
389,0
3403,1
6788,1
6992,1
1429,1
1164,0
1935,1
3237,1
4154,1
5514,1
4729,1
279,0
2035,1
801,0
3007,0
2595,0
2814,1
2649,1
1383,1
5984,1
2361,1
813,0
3455,1
2598,0
3609,1
3736,1
4219,0
915,1
1576,1
1356,1
4817,0
5161,1
4587,1
6816,1
7550,1
2099,0
3435,1
7646,1
6339,1
4425,1
6321,1
5211,1
1074,1
5774,1
5928,1
6302,1
6351,0
1885,0
3447,1
3196,0
2040,1
108,0
917,1
4613,1
2534,0
7307,0
4218,0
333,1
7602,1
1851,0
3464,0
6610,0
6966,1
6524,1
3359,1
3817,0
1465,1
5188,0
4864,0
284,0
5308,0
1663,1
2927,0
5543,1
3387,0
7067,1
1613,0
6955,1
7024,1
6540,1
2161,1
249,0
5805,1
4409,0
7029,1
946,1
1242,1
5142,0
780,0
6570,1
5355,1
4227,1
1607,0
1194,1
1609,0
1391,1
7726,1
6320,1
376,0
5733,1
3917,1
3681,1
5772,1
5934,1
171,1
1153,1
6087,1
6679,1
4503,0
622,1
816,1
7391,1
5603,1
339,0
281,0
4945,0
1036,1
2571,1
508,0
3453,1
5887,1
118,1
1893,1
5018,1
2682,1
4326,1
7285,0
6237,1
7659,1
3123,1
1403,1
1771,1
5750,1
6482,0
3177,1
5831,0
1290,1
5528,1
7086,1
3001,1
4828,1
7826,1
5104,1
3707,0
7747,0
7533,0
6710,1
5948,1
5572,1
3872,1
3952,1
2775,0
4936,1
2862,1
7609,1
4461,0
60,0
5642,0
4111,0
4277,1
3046,1
113,1
1371,1
2447,1
5678,0
5461,1
7475,1
6242,1
180,1
6516,1
6360,1
1224,1
6542,1
2677,1
4387,1
6356,1
478,0
640,1
3621,1
174,1
4838,1
1514,1
3786,1
3227,0
2330,0
5280,0
6499,1
6813,1
5724,0
2211,1
520,0
3962,1
5719,0
5171,0
3078,1
6798,1
6526,0
937,1
155,1
2184,1
2707,1
2836,0
7642,0
1841,0
32,1
6601,1
3971,1
6829,0
2492,0
5666,0
3941,1
4061,1
4365,1
871,1
1459,1
1073,1
4161,1
71,1
832,1
2193,1
3929,0
6868,1
3866,1
4894,0
3330,0
4250,0
3708,1
2182,1
7567,1
402,1
7355,0
3514,1
253,1
7672,1
877,1
630,0
4088,1
2047,1
7140,0
1979,1
276,0
4094,1
2245,1
7271,0
4854,0
4129,0
57,0
6076,1
3974,1
141,1
1369,1
6743,1
1123,0
1846,1
1928,1
3885,0
2495,1
7282,1
3655,1
6689,1
1076,1
1028,1
7804,1
2247,1
2373,1
4726,1
2760,1
6963,1
1355,1
2792,1
3827,1
2400,1
465,0
5927,1
6931,1
5802,1
3442,0
7203,0
1793,1
2346,1
5377,0
2257,1
6372,0
7571,1
6934,1
7442,1
1490,1
5109,1
1203,1
6421,1
4167,1
3783,0
2325,1
6042,1
3653,0
2259,1
857,1
5859,1
1309,0
3217,1
3042,1
3004,0
4849,1
6987,0
7167,1
4134,1
3875,1
5845,0
2264,1
2140,1
1272,1
6807,1
4276,1
2998,1
5764,1
4712,1
1648,1
1445,0
3803,1
6684,0
7147,1
7462,1
1676,1
7114,1
4112,0
3561,1
5103,1
6121,0
7800,1
1545,1
5297,1
5795,1
6100,1
5317,1
3199,0
3901,0
6013,0
3551,1
3714,1
2796,0
3017,1
4913,0
1483,0
3174,0
6006,1
1191,1
2272,0
2530,1
1362,1
7559,0
3183,1
5908,1
3605,1
6886,1
4907,1
6860,1
1045,1
7289,1
5511,0
7708,1
6625,0
2208,1
2834,1
726,1
3834,1
7227,0
7003,1
3452,1
5200,1
5145,1
2028,0
4083,0
4424,1
5391,0
7505,1
6083,0
935,1
6973,0
491,1
7516,1
2265,1
5488,1
1410,1
4950,0
3163,1
3012,1
6203,1
4151,0
4591,1
246,1
1715,1
1656,1
4705,1
2229,0
5433,1
3221,1
5857,1
2805,1
1866,1
2853,1
5531,1
5820,1
4487,0
4295,0
3975,0
4297,1
702,1
2544,0
6863,1
7795,1
1404,1
7409,1
3545,1
5900,1
7511,0
7019,0
35,1
3940,1
5185,1
4625,1
7155,1
5550,1
5422,1
4451,1
2130,1
6638,0
6181,1
4264,1
610,0
3428,1
7269,1
6024,1
135,0
3104,1
385,0
4685,1
2291,0
4762,0
3683,1
4686,1
221,1
6895,1
3005,1
7108,1
293,1
5101,1
7504,1
379,1
2270,1
2751,1
7492,1
2693,1
1647,1
1701,1
96,0
5341,0
5447,0
6169,0
5301,1
2730,1
4634,1
2933,0
2961,1
7606,0
1221,0
3171,0
3556,1
6364,0
5445,1
2651,1
7815,1
754,1
5903,1
5108,1
2948,0
3820,1
7382,0
7113,0
6304,1
3469,1
7572,0
6078,1
2248,0
6739,1
68,0
5654,1
4562,1
3100,1
3796,1
27,1
4524,1
1566,1
3424,1
5497,0
4075,1
4526,1
5392,1
5495,1
817,0
669,1
6653,1
1030,1
1332,1
1318,1
262,1
7351,1
1346,1
5492,1
2428,1
4386,0
5864,1
3752,1
2812,0
5387,1
918,0
2166,0
1486,1
7802,1
3352,0
7399,1
2577,0
5059,1
4962,0
1418,1
7229,1
1729,1
4820,1
4711,1
6257,1
1137,1
5586,1
2389,0
2021,0
4688,1
6714,1
4243,1
1513,1
2198,0
2910,1
6632,1
2654,0
7184,1
3422,1
3996,1
4608,1
6724,0
4715,1
5743,0
6815,1
6052,1
7014,1
6381,1
4188,1
5564,1
6789,0
594,1
3010,1
7419,1
4623,0
4989,0
4821,1
5962,0
1373,1
5371,1
5988,0
4620,0
4238,1
5093,1
305,1
542,0
3611,1
410,1
7239,1
7245,1
1251,0
5043,1
7634,1
4840,1
4370,1
3239,1
3981,1
3326,0
7719,0
5843,1
4669,1
5738,0
7691,1
1964,0
1293,1
5206,0
2513,1
717,1
595,1
6268,1
1696,1
1839,0
6673,1
1848,1
5643,0
3699,1
1525,0
1288,0
1705,0
6546,1
7217,1
203,1
3606,0
2153,0
5254,1
6843,0
7484,1
6090,1
6864,1
6208,1
4542,1
4771,0
2765,1
3195,1
1811,0
6701,0
4500,1
5132,1
5665,0
4937,1
1163,1
4509,0
7346,1
1739,1
6266,0
4290,0
743,1
195,1
4752,1
6281,1
79,0
91,1
2359,1
7340,0
2160,1
4560,0
6128,1
3050,0
3717,1
7297,1
2237,1
1394,1
4845,0
4761,1
3313,1
4046,1
5771,1
974,1
7569,0
3154,0
6619,1
2991,1
4214,0
6750,1
1798,1
1331,1
4812,1
7535,0
4346,1
3147,1
1148,0
3249,1
6840,0
3911,0
1407,1
1388,1
340,0
7798,1
1792,1
2505,1
122,1
2999,1
66,1
1125,0
5891,1
6278,1
6014,1
2266,1
4426,1
1178,1
7445,1
6075,1
3119,1
3536,1
5951,1
2394,0
5592,1
2912,1
3032,1
1240,0
4960,0
1053,1
413,1
5655,1
3334,1
5283,0
1558,1
5276,1
2902,1
7749,1
6043,1
3260,1
2684,0
1413,0
6036,1
4453,0
4118,0
4596,0
306,0
7752,1
5947,0
3573,0
3088,1
3283,1
7781,1
941,1
2001,0
5753,0
6584,0
4207,1
500,1
5829,0
1876,1
78,1
615,1
5089,1
314,1
1615,0
3014,0
2476,0
2588,1
2395,0
799,1
662,0
6502,1
447,1
3006,1
3440,0
4986,0
5525,0
5998,0
1167,1
1777,0
6106,1
1965,0
7173,1
1758,1
1448,1
4746,1
213,1
2374,1
6034,1
7291,1
2995,1
6085,1
4839,1
3060,1
3302,1
3192,1
289,0
6125,0
4757,0
7293,1
3580,1
2369,1
4450,1
7433,1
2547,0
5039,1
7414,1
375,0
6616,0
87,1
5143,0
7678,1
5478,1
1197,1
3479,1
165,1
4378,0
6316,1
6585,1
4417,0
55,1
7394,1
1225,1
4774,0
2983,0
2541,1
3853,1
821,1
4293,0
455,1
5192,1
795,1
5068,0
488,0
5631,0
2429,1
2854,1
7732,1
811,1
251,1
4067,0
3167,0
1084,0
616,1
1500,1
4097,1
1668,1
812,1
5884,1
2517,1
7688,0
3376,1
1372,1
4516,1
3936,1
4042,1
1914,0
7583,0
5987,0
3202,1
6378,1
123,0
7305,1
5713,0
5284,1
5573,1
887,1
7152,0
7284,0
1213,1
1114,1
5325,1
4391,1
7574,1
4285,0
2900,1
6833,1
3348,1
2132,1
7101,1
6265,1
1428,0
5112,1
4317,1
3390,0
3472,0
2968,1
4435,1
6937,1
7764,0
6369,0
3172,0
5641,1
1716,1
5826,0
6586,0
3781,0
4512,0
4267,1
1134,1
7222,1
7729,1
1496,1
2973,1
3451,1
4014,1
2694,0
392,1
1,1
3586,1
5236,1
6541,1
1674,0
7828,1
25,1
3138,0
7393,1
649,0
1190,1
1722,1
3531,0
3506,0
7065,1
3767,0
7281,1
5580,0
5632,0
586,1
961,1
4032,0
6725,1
4002,0
7075,1
4975,0
3984,1
4464,0
4552,0
3275,1
4454,1
5079,1
3261,1
3753,0
6889,0
1046,1
1104,1
5689,1
1819,0
5178,1
2691,1
844,0
1360,1
363,1
1031,1
2470,1
2102,1
2383,0
6556,0
2067,1
4782,1
1539,1
4925,1
1683,1
4612,1
5409,1
6575,0
2903,0
7224,0
4278,1
6753,1
707,1
636,0
7630,0
1552,0
2855,1
6727,0
1531,1
2110,1
6328,1
4571,0
5913,1
4826,1
6514,1
2302,0
3505,0
6152,1
3877,1
2024,1
3314,1
3626,1
4247,1
4126,0
7429,1
1199,1
5731,1
4536,1
5909,0
7478,1
708,0
4971,1
4624,0
5582,0
7158,0
6713,0
441,1
7168,1
6271,1
6699,0
446,1
6129,1
506,1
2301,1
695,1
4513,0
4538,1
6624,0
6229,1
6201,1
4568,0
4165,1
591,1
6413,1
4610,1
131,1
4912,0
2697,1
5871,1
1096,0
4863,0
4064,1
7822,1
6773,1
7408,1
5991,0
2006,0
4540,1
36,1
5673,1
2307,0
4300,0
6432,1
2030,1
335,1
1567,1
7604,0
7059,1
7330,1
507,0
2931,0
2575,0
2401,1
107,0
1170,1
7760,1
3674,0
383,1
353,1
3383,1
5487,1
489,0
993,1
4920,0
1042,1
3024,1
3687,0
7321,1
2124,1
6459,1
3321,0
266,1
6841,1
5256,1
4708,1
2747,1
716,1
531,1
4319,1
2889,1
6189,1
3328,1
5475,0
2033,1
6682,0
4181,0
904,1
5073,1
1319,1
437,1
1815,0
3821,0
2879,1
5815,1
2526,1
6949,1
1972,1
1572,1
5179,0
6485,1
3069,0
697,1
1472,1
1069,1
6004,1
2771,1
4122,0
604,1
45,0
4961,1
7040,1
6760,1
4614,1
3491,1
2841,1
1230,1
3294,1
433,1
4882,1
5868,1
6477,0
1922,1
6747,1
6438,1
562,1
7102,0
6410,0
7181,1
1328,1
6337,1
2451,0
5540,1
2196,0
4789,1
5658,0
2365,1
6759,0
3309,1
5318,1
190,1
1845,1
6444,0
6415,0
1366,1
5959,1
3320,0
4585,1
5954,0
4329,0
4474,1
5035,1
2254,0
3118,1
7472,0
163,1
2880,0
2990,1
1477,1
7185,1
1736,1
6997,0
4159,1
7554,1
7178,0
7405,1
1424,1
4241,0
457,1
6395,0
5791,1
4328,0
4469,1
7696,1
3522,0
6425,1
4843,1
4825,0
2060,0
5519,1
7363,1
4832,1
2000,1
387,1
354,1
701,1
243,1
1155,1
3768,1
2308,1
1554,1
3923,1
3182,0
7605,1
7153,1
6758,1
710,1
2741,0
1542,1
6442,1
3193,1
4869,0
6453,1
5085,0
5390,0
5027,1
5932,1
5315,1
6323,1
7225,0
5936,1
7751,1
688,1
7797,1
7035,0
5002,1
5268,1
2874,0
7157,1
3700,0
914,1
7339,1
7459,1
772,1
1249,0
6930,1
7808,1
5621,1
2239,1
1924,1
3728,1
2749,0
1175,0
6900,1
4648,0
84,0
7555,0
7248,0
4304,1
5862,1
474,0
6877,1
52,1
5509,1
3110,1
581,1
