,toxic
7099,1
5314,0
1920,0
6048,1
4246,1
7211,1
3690,1
4437,1
2075,1
6262,1
1062,1
6390,1
7796,1
2450,1
2635,1
5610,1
1201,1
4310,1
2014,0
5203,1
7344,0
1597,1
5267,0
2896,1
2858,1
5311,1
2338,0
1093,1
703,1
2393,1
396,0
4860,1
5677,0
1475,1
2490,1
5911,0
4388,1
7081,0
563,1
6762,0
6968,1
6170,0
5624,1
1630,1
2787,0
633,1
7362,1
6496,0
1287,0
3186,0
742,1
5370,1
21,1
845,0
4311,0
7588,0
6608,1
1849,1
1628,1
2884,1
536,1
4340,1
3642,1
0,1
3318,1
2083,0
2573,1
1021,1
419,1
6086,0
758,1
7254,1
5241,1
3659,1
1780,1
2052,1
6490,0
5963,0
856,0
329,1
5420,0
5675,1
2345,1
6187,0
7401,1
788,1
4380,1
5880,1
4566,0
6225,0
3596,1
715,1
7598,0
5633,1
4442,1
3983,1
3148,1
6479,1
1526,1
7131,1
7160,0
4636,1
5451,0
1006,0
1081,1
3350,1
7242,1
1936,0
2675,1
2360,0
608,1
1254,1
6131,1
4515,1
2863,1
1033,1
5659,0
2905,1
6289,1
4158,1
3109,1
2865,1
6862,1
219,1
2167,1
7062,1
4182,1
239,1
5273,0
4076,1
4981,1
315,0
6068,1
2705,1
1620,1
7523,0
7182,0
4689,0
5794,1
3513,1
3840,1
4283,0
4514,0
4289,1
1823,0
2914,0
4799,1
7527,1
4921,0
3445,1
492,1
2481,1
6856,1
7468,0
6163,1
820,1
5696,0
7183,1
4494,1
6212,0
4223,1
4916,1
977,1
1018,1
1904,0
5611,1
6876,0
4521,1
4951,0
3399,1
4152,1
6103,1
307,1
5118,0
2815,1
2772,0
7532,0
2686,0
316,0
1112,0
4670,0
1634,0
2724,0
1387,1
7310,0
792,1
5847,1
6434,1
6119,1
1593,1
3555,1
6941,1
7497,0
824,1
6722,0
7132,0
4488,1
4525,1
1498,1
6732,1
7589,1
2175,1
2735,1
6305,1
7406,1
4810,1
5031,1
5819,1
2579,0
1735,0
639,1
607,1
624,0
5541,1
3408,1
4658,1
5762,0
7525,0
3585,1
4347,1
6557,1
839,0
2496,1
7650,0
4822,1
2738,0
7128,1
646,1
5878,0
3235,1
3141,1
1949,1
41,1
6380,1
3711,1
1466,1
2156,1
1678,1
7047,1
4470,1
1847,0
7735,1
5146,0
837,1
459,1
6319,1
6697,0
626,1
3816,1
3269,0
2441,1
1430,1
486,1
382,0
7023,1
7159,0
3997,1
2648,1
1501,0
2048,1
6055,1
4486,1
1911,1
4358,1
6559,1
5427,1
6719,1
3869,1
2829,1
7146,0
6061,1
5706,1
3641,1
3311,1
5668,0
2215,1
841,1
4136,1
4939,1
5037,1
275,1
3325,1
814,1
5635,1
5897,0
5969,1
5218,1
6769,0
6975,0
2485,1
3139,0
2661,0
1690,1
4013,1
2592,0
4375,1
1710,1
2657,1
4797,1
5395,1
7640,0
4952,0
3111,0
808,0
5462,1
5816,1
5119,1
4318,1
4901,0
4383,0
2213,1
4048,1
2262,1
6572,0
3549,0
3924,1
5921,1
1985,1
2643,1
3393,1
2020,0
5316,1
1791,1
2982,1
5780,0
4025,0
6235,1
3792,1
6764,1
1973,1
6875,1
6665,1
2444,1
5418,1
1659,0
4103,1
6290,1
6082,1
5275,1
3468,1
2536,1
2979,1
1917,0
4189,0
1258,1
1408,1
7514,1
2362,0
4605,0
7148,1
1804,0
2477,1
6270,1
3602,1
544,0
3989,1
3927,1
204,1
370,0
5607,1
192,1
3098,1
1982,0
623,0
2274,0
93,1
2574,1
632,1
1169,1
6622,1
4212,1
1517,1
3873,1
7404,1
6324,1
5536,1
7165,1
4564,1
137,1
6478,1
6503,0
5523,1
2945,1
6512,1
2719,1
2883,0
1551,0
6849,1
5271,1
7595,1
323,0
3160,1
4397,1
6922,0
1794,1
738,0
2372,1
1182,0
7384,1
7437,1
3210,1
1306,1
3603,1
5567,1
2111,1
5755,0
7209,1
1621,1
3232,1
6200,1
3684,0
2368,1
650,1
2188,1
3234,1
3960,1
1610,0
6267,1
6846,0
1257,1
7824,1
690,1
1405,1
1342,1
906,1
5313,1
5840,1
5500,1
1094,0
6210,0
2106,1
858,1
3410,1
1712,1
7311,0
5881,1
3426,1
390,0
1662,0
2932,1
4796,0
6685,0
3251,0
5996,1
3625,1
4065,1
6148,1
3342,1
3547,1
1590,1
1206,1
7638,1
2585,0
5685,1
1253,0
373,0
4242,1
3267,1
1810,1
2217,1
4617,0
4258,0
2599,1
7786,0
1010,1
4539,1
4728,1
549,1
540,0
5097,0
3771,0
2113,1
496,1
1236,1
3369,0
4830,1
675,0
3706,1
2777,1
3459,0
1867,0
7331,1
2551,0
310,0
1129,1
5141,1
4889,1
6678,0
2139,1
1492,1
5720,1
4109,0
7189,1
7482,1
43,1
4306,1
1765,1
1176,0
4335,0
7324,0
5014,0
1435,1
1564,1
7031,1
5645,0
5173,0
7671,1
1988,1
5589,1
95,0
4196,1
7626,1
2866,1
4029,1
4760,1
5255,1
2343,1
503,1
7119,1
6215,0
5551,0
4462,0
4110,0
7585,0
2562,1
7627,1
3852,1
3838,0
4677,0
399,0
3467,1
3301,0
7709,0
6919,1
3460,0
2094,1
6033,1
7746,0
4909,1
2658,0
571,0
3591,1
4664,1
1764,0
3305,1
5806,1
7823,1
121,1
3407,0
2087,1
5717,1
1317,1
5366,1
7335,0
793,1
2294,0
6729,1
2357,0
5150,1
5285,1
3086,1
7030,1
4868,1
2168,1
1013,1
7641,1
2668,1
2989,0
2951,0
6792,0
5683,0
1618,1
6426,1
3380,1
3392,1
7304,0
7645,1
5122,1
3207,1
6554,0
1950,1
3630,1
3957,1
1641,1
7320,1
7464,1
1049,1
6691,1
3858,1
822,1
4460,0
5553,0
6488,0
7241,1
6850,1
6565,1
4707,1
3097,0
3723,1
5976,0
757,0
1395,1
6911,0
6443,0
2819,0
7690,0
434,1
3905,1
7540,1
7208,1
5626,1
4704,1
3734,1
6796,0
1795,1
146,1
7660,0
3847,1
6667,1
4740,0
468,1
2626,1
892,1
2594,0
3194,1
2580,1
7089,1
1512,1
6754,1
2467,0
1275,1
2424,1
6112,0
3178,1
7077,1
5124,1
3229,1
787,1
1503,1
458,1
4351,0
5760,0
504,1
1310,1
828,0
5421,0
5699,1
2109,1
2842,1
1120,1
5164,1
3515,1
6044,0
1930,1
4262,0
1054,1
3764,1
7722,1
1450,1
921,1
1056,1
355,1
6064,1
3692,1
1600,1
1664,1
2489,0
2825,1
6029,1
4367,0
1650,1
5061,1
1157,0
7601,1
4567,0
6475,1
3719,1
3198,1
255,1
2405,0
6778,1
1908,1
5351,1
769,0
2154,1
1808,1
5961,1
3055,1
5832,1
435,0
3501,1
6508,0
1092,1
7714,1
1738,0
964,1
534,1
6703,1
4121,1
166,1
554,1
3222,0
6222,0
2086,1
1702,0
3307,1
4611,0
567,1
4976,1
2629,0
712,1
7807,1
7787,1
1822,0
2977,1
2743,0
1927,1
2988,0
5870,1
3613,0
372,0
4555,1
6984,1
1980,0
1414,1
1298,1
7389,1
4106,1
2788,0
4589,1
5469,0
2298,1
6603,1
6869,1
2016,1
6226,1
3908,0
889,1
7776,0
7779,1
7367,0
4482,1
4056,1
1078,1
2452,1
7669,1
6294,0
1938,0
7515,1
4144,1
5228,1
6784,1
4595,1
5196,1
6677,0
2773,1
4748,1
6030,0
4656,1
3431,0
6120,1
7151,0
2304,0
5010,0
7194,0
2379,1
6447,0
7643,1
7135,1
1588,0
240,0
7403,0
53,1
6903,0
5727,1
3909,0
19,1
3312,0
4456,1
4344,1
4458,0
6996,1
3345,1
1830,0
2672,1
7309,0
5704,0
2284,1
2180,0
4730,1
2907,1
7042,0
909,0
5030,0
312,1
6312,1
3027,1
3694,1
6830,0
1883,0
3483,1
1853,1
6314,0
3733,0
1677,1
6970,1
4235,1
4095,0
3052,1
1211,1
5015,0
5914,1
6814,1
6074,0
7734,1
919,1
374,1
538,1
6506,0
4878,1
2584,1
7542,1
4588,1
1469,1
3617,1
6296,1
7177,0
3532,1
908,1
2366,1
6654,1
110,1
1471,1
2012,1
5602,1
7187,0
7263,1
5688,1
6935,1
7699,1
4176,0
620,1
6614,1
7028,1
5664,1
1491,0
6331,1
7424,1
7780,1
4660,1
5974,1
4609,1
7441,1
4787,0
1100,1
449,0
4584,0
2616,1
652,1
7740,1
4994,1
517,0
617,1
7325,1
6431,1
7805,1
2414,1
791,1
6238,1
6258,1
1299,0
6071,0
3841,1
7612,0
1158,1
2422,1
2227,1
5728,1
6649,1
5190,1
3685,1
7287,1
1685,1
2512,1
6597,0
1422,0
4690,1
2701,1
4323,0
476,0
4641,1
4720,1
6325,1
6391,0
2987,1
1107,1
2396,1
3298,0
7328,1
5130,1
6804,1
6452,1
4719,1
750,0
1386,1
82,0
752,1
566,1
6190,1
7663,0
1227,1
4084,0
6176,1
3660,1
1281,1
1320,1
7071,0
2255,0
6766,1
7407,1
2710,0
4578,1
5980,1
1687,1
7458,1
2624,0
5358,0
153,0
611,1
7188,1
7725,0
463,1
2767,1
5274,1
1511,1
5472,1
6354,1
2920,1
6153,1
4668,1
2966,0
5869,1
6244,1
6194,1
5846,1
5687,1
5346,0
2480,1
2839,1
1731,1
6923,0
2204,1
5174,0
6310,1
2615,1
2356,0
4072,1
5669,1
3557,0
3779,0
7100,0
2784,0
3188,1
172,1
1726,1
3880,0
3184,1
6687,1
7127,1
6906,0
6111,1
3011,1
7503,0
7599,1
5153,1
4751,1
1748,1
1273,1
2479,1
6779,0
3482,1
2917,1
5895,1
5100,1
4628,1
6781,0
6430,0
2079,0
6596,1
1252,0
4171,1
3577,1
2226,0
5034,1
5751,0
1389,1
2521,1
7579,1
5121,1
6457,1
4291,1
3150,0
2192,0
5382,1
2640,1
5277,0
2277,1
222,1
4876,1
1805,1
2078,0
4288,0
5886,1
2415,1
2363,1
3038,1
7011,1
5906,1
1624,1
6969,0
5894,0
6414,1
5993,1
7218,0
1960,0
6446,0
6493,1
681,0
1666,1
4759,0
3860,1
7687,1
208,1
4627,1
6534,1
4999,1
2252,1
5099,0
4040,0
2816,1
2059,1
1390,1
6383,1
4965,1
3131,1
861,0
7748,1
5676,1
228,1
6057,1
984,1
2955,1
5716,1
185,1
4000,1
3218,1
2621,1
846,1
890,1
4650,0
3292,0
7265,0
7415,1
782,1
4802,1
1291,0
3414,1
3846,0
6217,0
3950,1
7566,0
3633,1
4964,0
687,1
5700,1
2085,0
5517,1
3133,1
3610,1
2930,0
7438,0
3117,0
6501,0
1417,0
670,1
5548,1
1117,1
7163,1
510,0
338,1
4779,1
6141,1
2644,0
740,0
2758,0
3883,0
5946,1
4123,1
3739,1
3475,1
5417,0
2335,1
5777,0
5577,1
1004,0
7499,0
404,0
2742,0
2634,1
7302,0
679,1
4598,0
2493,0
6577,1
6486,1
3785,1
5105,1
2610,1
2300,1
7016,1
5628,1
1877,0
1193,1
6362,1
3965,0
3153,1
7676,1
823,0
4745,1
4309,0
7417,0
3271,1
1868,1
6062,0
3085,1
3285,0
6292,1
3637,0
1136,1
5209,1
1787,1
2851,0
7233,0
4756,0
2133,1
766,1
665,0
4402,1
522,0
802,1
215,1
1392,1
691,1
6956,0
3712,0
3680,1
1467,1
3093,1
815,1
5350,1
6573,0
884,0
5250,1
902,1
6407,1
6854,0
1601,0
58,0
1635,1
4305,1
825,1
5617,0
4169,1
4231,1
