,smiles,toxic
3702,CCCOC(=O)c1cc(O)c(O)c(O)c1,1
4741,CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,1
2922,CCC(C(N)=O)N1CCCC1=O,1
5059,CCC(C)=O,0
2249,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,1
1792,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,0
2505,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,1
2379,CNC(=O)Oc1cccc2c1OC(C)(C)C2,1
819,NCCc1ccc(O)cc1,1
4718,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1
5255,Clc1ccccc1,0
3461,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1
2547,CC(C)(C)CC(C)(C)c1ccc(O)cc1,1
2429,CC(C)CC(C)N(c1ccccc1)c1ccc(N)cc1,1
741,O=CCCc1ccccc1,1
4781,O=C(Oc1ccccc1)c1ccccc1,0
4062,COc1cccc(OC)c1C(=O)O,0
2982,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,1
3850,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,1
3978,O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21,1
4558,Cc1cc(C)c(NC(=O)C[C@H](CC(=O)[O-])c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1,1
1268,CCCCOC(C)=O,0
681,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCCC1,1
2701,CCCCC(=O)N(C)C,0
1981,COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,1
150,O=C(O)c1ccc(O)cc1O,0
1130,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,0
3008,CC(C)(O)CCC(C)(C)O,0
2413,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1
1835,[Cd+2],1
4589,CC(C)Cc1ccccc1,0
5231,CCCCCCCC(=O)Cl,0
2197,CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,1
3725,O=C(O)c1ccccc1O.OCCN(CCO)CCO,0
2636,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1
1154,Cc1nc2ccccc2s1,0
1785,CCCCCCCCC=O,0
3432,CC(=O)Nc1ccc2c(c1)Cc1cc(NC(C)=O)ccc1-2,1
2444,Nc1ccc(N)c2ccccc12,1
5079,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)OCC)c1ccnc2ccc(OC)cc12,1
5132,C=CC(C)=CCC=C(C)C,1
3804,CCN(CC#N)c1cccc(C)c1,0
3190,CCN(CC)C(C)=O,0
4325,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],1
1381,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1
2054,CCCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@@]21C,1
4643,CCCCCCCCCCCCCCCC(=O)OCC,0
1567,CN1C(=O)N(C)C(O)C1O,0
2187,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1
1599,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,1
1370,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,1
2109,C=C(C)CC(C)(C)C,0
1846,COc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1
5143,CCC(C)(CCC(C)C)C(=O)O[Sn](C)(C)OC(=O)C(C)(CC)CCC(C)C,1
4315,COP(C)(=O)OC,0
1980,O=C(O)CC(=O)O,1
1857,NC(=O)c1cnccn1,0
907,O=Cc1ccc([N+](=O)[O-])cc1,1
563,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,1
260,COC(=O)c1ccc(CBr)cc1,1
2018,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1
3254,CCOP(=O)(CC)Oc1ccc([N+](=O)[O-])cc1,1
357,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,1
3356,CCCCCC(N)=O,0
3122,CCNC(=O)C(C)OC(=O)Nc1ccccc1,0
1727,CCCC(=O)OC(=O)CCC,0
1851,CC[C@H](N)c1ccccc1,0
1341,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,1
3579,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,1
1782,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,1
1958,OCCCc1ccccc1,0
2375,CNC(=O)Oc1cccc2ccccc12,1
3863,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,1
2764,CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O,0
663,COS(=O)(=O)OC,0
988,CN(C)c1ccc(SC#N)cc1,1
355,O=C(O)CNC(=O)c1ccccc1,0
782,O=C1NS(=O)(=O)c2ccccc21,0
3648,CCCCNCC,0
442,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0
2659,Cc1occc(=O)c1O,0
3404,O=C([O-])[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
4431,COC(=O)/C=C(\C)OP(=O)(OC)OC,1
3189,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,1
789,CC(=O)C=CC1=C(C)CCCC1(C)C,0
1655,CC(=O)C(C)O,0
4218,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,1
3835,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,0
2053,CCCCCCCCC1CO1,0
1371,CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1,1
958,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
996,CCN(CC)C(=S)[S-],1
2571,O=[N+]([O-])c1cccc2cccnc12,1
1097,C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,1
4375,CC#Cc1cc(C)nc(Nc2ccccc2)n1,1
2041,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1
500,CN(C)CCN(C)CCO,0
3025,CCCCCc1ccc(N)cc1,1
4198,O=C(Cl)c1ccccc1,0
1711,COC(=O)c1ccccc1Cl,0
1445,O=C(Nc1ccc2c(c1)Cc1ccccc1-2)C(F)(F)F,1
1707,COc1ccc(OC)c(NC(=O)CC(C)=O)c1,1
25,CCCCCCCCCCC=CC1CC(=O)OC1=O,1
2808,CC(C)(C)NCCO,0
3078,Oc1ccc(O)cc1,1
220,C=CCc1ccc(O)c(OC)c1,0
1244,C=CC1CO1,0
3296,Cc1cccc([N+](=O)[O-])c1,0
645,CCCCCCCC/C=C/CCCOC(C)=O,1
1392,NC[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,1
1690,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,0
252,C[N+](C)=CCl,0
160,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1
2485,Cc1cccc(C)c1NC(=O)CN1CCCCCC1,0
5010,CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCCC1,1
2691,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,1
1638,CCCCCCCCCCO,1
2186,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,1
4484,CN(C)c1cccc(O)c1,1
3440,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,1
723,Cc1ccccc1O,0
1297,O=C(Cl)c1cccc([N+](=O)[O-])c1,0
2056,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,1
488,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1
3813,N=C(N)S(=O)O,0
1930,O=C(O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,1
1314,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0
3028,CC(C)(C)c1ccc(C(=O)O)cc1,0
3805,Oc1cccc2cccnc12.Oc1cccc2cccnc12,1
3791,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1
1080,CCC(C)COC(=O)CC(C)C,0
245,O=[N+]([O-])C(CO)(CO)CO,1
2737,OC1CCCCC1,0
2324,CC(CCO)CC(C)(C)C,0
2486,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,1
762,O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1
4635,CCN(CC)CCNc1ccc(CNC=O)c2sc3ccc(OC)cc3c(=O)c12,1
1128,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,1
1283,Cc1ccc2c(c1)CCCN2,1
4763,O=C(Cl)/C=C/C(=O)Cl,1
68,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,1
1044,CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,1
2933,CC(=O)OCCCc1ccccc1,0
1545,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1
2245,CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c1cc(Br)c(OCCO)c(Br)c1,1
5081,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,1
616,CC(C)c1cccc(C(C)C)c1N,0
2761,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,1
2709,CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1,0
928,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,0
3482,Nc1ccc([As](=O)(O)O)cc1,0
4515,Cc1c(NC(C)C)c(=O)n(-c2ccccc2)n1C,0
3394,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1
4351,CC(=O)c1ccc2ccccc2c1,0
1650,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,0
198,CCNc1nc(Cl)nc(NC(C)(C)C)n1,1
3307,CNCc1ccccc1,0
4824,Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,0
1553,CN(C)C(=O)CCSC(SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1
2190,Nc1cc(S(=O)(=O)O)ccc1O,0
2597,CCC/C=C/CO,0
4457,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(OC(=O)CCC)C(=O)OCCCCCC,0
2171,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1
2362,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,1
662,CC1=C(C)S(=O)(=O)CCS1(=O)=O,1
1853,CC/C=C\CCCCCCCCCCOC(C)=O,0
4445,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,1
1541,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,1
4030,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,1
4042,OC1OCCOC1O,0
5097,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,0
2213,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,0
3915,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,1
4883,CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC,0
3548,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O,1
5190,NNC(=S)NN,1
