,toxic
2839,0
4142,0
5263,1
4453,0
818,0
225,1
16,1
186,0
913,1
3104,0
4505,0
2459,1
4031,1
2151,0
2847,1
1464,1
4885,0
4809,0
3537,1
6,1
847,0
2941,0
3809,0
889,0
388,0
3879,1
2763,1
4070,1
4254,0
2522,1
3909,0
3865,1
1424,0
5056,0
4533,1
4547,0
2591,1
4490,1
3878,1
419,1
3036,0
2273,0
779,0
2353,1
4513,1
3000,0
455,0
2403,0
1012,0
3294,1
3633,1
3122,1
1453,1
924,1
3168,0
1482,1
4250,1
1854,0
4349,1
3897,1
2429,1
1341,1
2394,1
3867,0
746,0
4477,0
700,0
116,1
4891,0
5043,1
2969,0
4432,1
200,1
3331,1
4040,1
1628,0
75,1
4212,0
1004,0
4548,0
3968,0
1616,0
1401,0
3957,0
3962,1
3399,1
2198,1
3634,0
879,1
2328,1
5145,0
3738,0
5244,0
4886,0
88,0
2846,1
4019,0
4551,1
2048,1
1248,0
258,1
2129,1
92,1
518,0
4072,0
890,0
3973,1
4861,1
5000,1
420,1
5136,1
1392,1
2264,1
2368,1
1354,1
1589,1
4895,0
166,1
4182,0
2576,1
1015,1
2202,1
617,0
813,0
3641,0
1689,0
3184,1
856,1
1257,1
1762,1
1602,1
1448,1
1738,1
4698,0
833,1
3006,1
2,0
3601,1
2788,0
4913,1
3107,1
82,1
1823,0
3546,1
919,1
2844,0
505,1
3545,1
1331,0
293,1
4761,1
1243,1
2994,1
397,0
1833,1
2871,1
3009,0
1417,1
1512,0
696,0
2713,0
1751,1
5189,0
3577,0
191,0
2532,0
4284,0
2947,0
1338,1
238,1
3964,1
3645,1
4129,0
1511,1
3620,1
4324,1
2492,1
3907,0
1850,1
4225,1
1436,0
3019,0
418,1
320,1
3801,0
1788,1
4905,1
1624,1
3800,0
368,1
3931,1
20,1
2512,1
2942,0
3813,0
4918,0
3963,1
4347,0
4146,0
1064,1
3306,0
193,0
1553,1
332,0
2251,1
3401,0
848,1
739,0
1024,1
1929,1
4293,0
3814,0
694,0
2798,0
5157,1
2984,1
3673,1
133,1
613,1
4933,0
287,1
682,1
1551,1
2133,0
3053,1
1265,1
5089,0
3970,0
4624,1
1600,1
4923,0
1060,0
2567,1
48,1
2476,0
1781,1
2740,0
702,1
170,1
2267,1
3890,1
5047,0
3454,1
4423,0
1726,1
3195,1
4010,1
4668,1
5229,1
4738,1
1636,0
3556,1
2848,1
743,0
4794,0
869,0
928,0
5065,0
2363,1
3896,1
5116,1
1322,1
1894,0
4479,1
3625,0
564,0
2737,0
1264,1
3239,1
4863,0
5259,1
3024,1
1688,1
4537,0
1488,0
4686,1
1773,0
1966,0
2424,0
3007,1
866,0
3450,1
4936,0
2643,1
2013,0
3342,0
2781,0
1797,1
2800,1
4916,1
2865,1
2295,0
316,0
1552,0
3437,0
1440,0
3838,0
3795,1
1690,0
3236,1
4906,0
2177,0
2722,1
25,1
152,1
3100,1
4445,0
1398,1
2976,0
550,1
4674,1
5021,1
4983,0
2337,0
2996,1
4026,1
56,0
2086,0
4155,1
1537,0
3310,1
229,1
2149,0
4571,1
2349,1
1317,1
3164,0
2377,1
2298,1
3751,1
141,1
1400,0
1163,1
110,0
958,1
175,1
2928,0
34,1
542,0
492,1
4237,0
3887,1
544,1
1451,0
748,1
1101,1
206,1
19,1
5097,0
2582,0
99,0
2897,0
205,1
2692,0
1441,1
1094,0
1776,0
667,0
1943,1
2618,1
3203,1
329,0
4893,1
2348,0
2046,0
1782,1
2758,1
1571,1
1120,0
3758,1
2442,1
4500,1
875,1
109,1
1769,0
4602,0
1275,1
4443,0
4220,1
1975,1
355,0
3359,0
2451,0
2766,0
3617,0
1397,0
2784,1
967,0
1857,1
3305,0
957,1
798,1
3654,1
3637,1
2154,1
3924,1
1804,1
2595,0
2733,1
2134,1
3378,1
2163,1
1053,0
1575,1
2274,0
448,0
4568,0
607,1
4156,0
963,0
275,0
699,1
3929,0
3391,0
3433,0
5104,1
3567,1
4924,0
3789,0
4578,1
165,1
4841,0
1606,0
5222,0
1238,0
577,0
3997,0
3955,1
3421,1
4784,0
1737,0
362,1
844,1
3199,1
3904,1
2531,0
3386,0
1771,0
3496,1
1897,1
2244,1
3699,0
230,0
3448,0
5070,0
2630,1
767,1
4779,1
2906,1
4855,1
4925,0
4378,1
1923,1
306,1
3638,0
3691,1
281,0
1731,1
3967,0
3948,0
2813,0
1880,0
2168,1
3438,0
2715,1
1567,1
4280,1
3076,0
4437,1
1347,0
1483,0
1700,1
2636,1
2465,1
1519,1
2036,1
1895,1
3945,0
4496,1
4252,0
246,0
3623,1
4682,0
484,0
1403,0
1841,1
456,0
3597,0
263,1
2454,1
3872,0
3130,0
4059,1
4673,1
486,1
4440,0
3532,1
4350,0
3398,1
1541,0
3505,1
4661,0
2065,1
2062,0
4465,0
2042,1
2681,0
594,0
3781,1
3244,1
2504,0
2421,0
4247,0
3837,0
5214,1
595,1
2507,1
766,1
2339,1
1162,0
4480,0
4346,0
3849,1
1320,0
2272,0
2211,1
4326,0
1419,1
1901,0
897,1
4940,0
2697,1
3568,1
1286,1
4904,1
918,1
2047,1
4337,1
2030,1
835,0
3676,0
4303,1
3863,1
3298,1
4436,1
2096,0
1342,0
4830,0
4767,0
4806,0
3216,1
3876,1
4732,1
2811,0
1834,0
508,0
1593,0
1251,1
2372,1
3119,0
5176,1
2218,1
4769,1
709,1
3492,0
160,1
1658,0
4965,1
1046,1
5258,1
3189,1
1988,0
2094,1
4402,0
1562,1
1318,0
63,1
1605,1
5175,0
5129,0
3026,1
498,0
2147,0
1550,0
3894,1
591,1
1230,1
3666,1
1557,1
1353,0
3956,0
172,1
3626,1
2489,1
37,0
3313,0
4868,1
3817,0
2478,0
3583,1
2712,1
2144,1
385,1
4104,0
561,1
3513,1
576,1
4449,1
54,0
4197,1
4120,0
4373,0
3995,1
4744,1
3651,1
3726,0
2558,1
5156,0
1887,0
4216,1
4054,1
2736,1
3774,0
792,1
1830,1
4462,0
3675,0
4021,0
3662,0
3177,0
679,1
441,0
3811,1
2676,0
1608,0
2685,0
1150,1
2815,1
374,1
2097,0
884,1
4760,1
1373,1
2632,1
706,1
1021,1
55,0
3559,0
4741,0
5046,0
4914,1
1881,0
255,0
4603,1
1622,0
289,1
2304,0
2883,1
1330,0
610,0
4598,0
391,1
2922,0
2838,0
2212,0
3084,1
4763,0
4210,0
4232,1
454,1
3533,0
384,0
2709,1
4185,1
701,0
1957,0
4175,0
4757,0
150,0
3701,1
4209,1
1515,0
3117,0
3078,0
4879,0
2361,1
802,0
3954,0
3291,0
1183,1
3824,1
4511,1
1870,1
787,1
2371,1
2157,0
1335,0
2183,1
1613,1
4416,0
2530,1
156,1
3066,1
1918,1
4388,0
1817,0
2686,0
4306,1
3226,0
1025,1
269,1
2807,0
714,0
4574,1
3969,0
874,1
1382,1
2506,0
4774,1
2479,1
4927,0
553,0
821,1
988,1
2702,1
3067,1
4468,0
5068,1
2239,0
2661,0
3900,1
4847,0
3655,0
5077,1
3470,0
892,1
5105,1
1393,1
4820,1
1116,0
1271,1
3514,1
1591,0
4672,0
3286,0
3527,1
777,1
4172,0
366,0
3793,1
5252,0
5088,0
3850,1
2240,1
4063,1
5210,0
4020,1
872,1
5034,1
2687,0
1359,1
1583,0
5128,0
410,1
637,1
3862,0
3661,1
5180,1
4392,1
4481,0
1165,1
4278,1
309,1
1115,1
2569,1
1584,0
3665,0
375,1
480,1
578,0
2933,1
4136,1
4424,1
2666,1
4961,0
1278,0
4256,1
226,0
3153,1
177,1
3799,0
1416,0
2019,1
262,1
4332,1
4495,0
4478,0
1588,1
5107,1
573,0
1449,0
3410,1
4730,0
5248,1
1707,0
1974,0
3003,1
3039,0
2732,0
2343,0
4143,0
1006,0
1153,1
2106,1
5023,1
592,0
676,0
1411,1
1306,0
3072,0
1431,1
3594,1
4857,0
4198,1
943,0
4450,1
2688,0
3038,1
3936,1
509,0
4723,1
1549,0
3295,1
458,1
992,0
3057,1
2173,0
3782,0
4184,0
2204,1
664,0
2669,1
2973,0
2334,0
1631,1
1899,1
2288,1
4658,0
1831,1
3382,1
2638,1
713,1
1107,1
5013,1
1647,0
1390,1
3888,1
4797,1
5095,1
4263,1
132,1
4641,1
2581,1
2671,1
1640,0
5131,1
2516,0
3364,1
3174,1
1955,1
2855,0
4235,0
586,0
27,0
2037,1
2461,0
4375,1
2269,1
4369,0
2586,0
1055,0
5103,0
1997,0
3243,0
140,0
4843,0
4753,1
622,1
935,1
3737,1
3154,1
1360,1
2215,0
3059,1
3561,0
2431,1
1767,0
1459,1
4140,0
2255,0
532,0
4722,1
3462,1
1739,1
2297,1
2613,1
3808,0
4328,0
4171,1
2639,1
3352,0
3755,1
2382,1
1720,0
4147,1
163,0
5187,0
1753,1
1671,0
3012,0
1582,1
1355,1
1810,0
3214,1
4646,1
5033,1
3318,0
3327,1
1764,0
5142,1
3381,0
197,1
5112,0
151,1
3874,0
1083,0
5020,1
4052,0
179,1
619,1
3193,1
1249,1
1269,1
3452,1
2370,0
1147,1
3707,1
1534,0
3587,0
40,0
3321,0
2277,0
2943,1
3639,0
2588,0
3455,1
2076,0
2629,1
3875,1
4364,0
43,0
5075,0
2080,0
2338,1
5044,0
5036,1
778,1
837,0
905,0
3652,0
4008,1
1566,1
5274,1
3338,0
4134,1
1938,1
1111,0
1614,1
406,1
5243,0
3595,0
1794,1
3277,1
395,0
2633,0
1290,0
1846,0
4403,0
3910,0
3471,0
795,1
1504,1
1289,1
233,1
1023,1
493,1
3116,0
1710,0
490,1
1203,1
745,0
1439,1
2098,0
1535,1
2869,0
1241,0
248,1
2089,1
2307,0
3390,1
365,0
4825,1
2783,0
2068,1
1507,1
2195,1
5152,1
2200,1
2648,1
5078,1
5271,1
3062,1
285,1
18,0
1987,0
4035,1
2665,0
2004,1
2170,1
188,1
3055,1
2824,1
4153,0
1890,0
3915,1
2362,0
1772,0
3820,0
2683,0
3768,0
3268,0
2138,0
1433,0
2856,1
1675,0
2849,1
1124,0
5213,1
2002,1
1199,1
4546,1
4376,1
4215,1
3797,0
853,1
3818,0
969,1
1784,1
3987,1
2299,1
84,0
2862,0
4651,1
294,0
4113,0
4827,0
369,0
4321,1
1674,1
2677,0
4964,1
546,1
2369,1
1192,1
3571,0
974,0
770,0
1909,1
4099,1
3953,1
3345,1
4043,0
2055,1
1827,0
4524,0
4233,1
1011,1
904,1
836,0
3082,0
4594,1
83,1
2014,0
1743,1
3744,1
2653,1
4727,1
5171,0
4640,0
2536,0
1920,0
5061,0
5074,0
1546,1
2803,1
752,1
1177,0
2637,0
3555,0
4126,1
3525,0
3644,1
3263,0
1198,1
3126,0
1959,0
1364,0
525,0
4186,0
4435,0
2001,0
2725,0
1514,1
2779,1
2623,1
5114,1
1351,1
4800,1
4596,0
1528,1
3806,1
707,0
3779,1
299,0
3081,1
1728,0
596,1
2939,1
2032,0
62,0
4464,0
3160,1
5086,1
3861,0
3465,1
973,1
4195,0
2829,0
2888,0
4987,1
1853,0
623,0
2559,0
2142,0
1892,0
1576,1
3274,1
1157,1
1612,1
2821,1
985,1
3770,0
288,0
654,1
4798,0
472,1
2180,0
5272,1
655,0
4017,0
2756,0
3453,1
2182,1
1283,1
2425,0
1041,1
1136,0
4221,1
2213,1
3989,1
665,0
411,1
3540,0
2611,1
3434,0
3472,1
3088,0
3346,1
2634,1
4988,0
4014,0
4523,0
5261,0
645,1
1402,1
3428,1
4650,1
2772,1
599,0
4079,1
1049,0
5029,0
5186,0
689,1
1187,0
3301,1
650,1
4415,1
3371,1
2145,0
3772,1
2422,0
273,0
387,0
5030,0
4312,1
440,0
2206,0
1931,1
457,0
4260,0
4192,1
338,1
5108,0
85,1
4083,0
4053,1
2540,1
4552,0
4728,1
8,1
4521,0
1426,0
429,0
4404,1
834,1
2514,1
937,1
2762,1
5208,1
2073,0
2881,1
3736,1
3554,1
471,1
3898,1
2590,0
1979,0
602,1
2450,1
3152,0
1030,0
5185,0
1495,1
1730,1
3201,0
5062,0
1170,0
633,1
3086,0
4808,1
983,0
1405,0
503,1
3183,1
3143,1
3308,0
4230,1
868,0
772,0
449,1
2194,0
771,0
26,1
3141,1
945,0
5194,0
2283,1
2351,0
3642,0
4950,1
1719,1
590,0
5016,1
878,0
3035,0
1371,1
3336,1
537,1
5211,1
1477,1
231,0
36,0
3023,1
4087,1
4710,1
3911,1
5205,0
2350,0
1117,1
2962,0
627,0
5174,1
5159,1
2358,1
4163,0
3859,0
1061,1
1297,0
390,0
3535,0
1389,0
4781,0
3981,1
2112,0
732,1
3021,1
4545,1
2963,1
4253,1
3941,0
2499,1
2549,1
466,1
2171,0
2704,0
624,0
1379,1
4112,0
4173,0
960,1
1110,1
1638,0
4750,0
4180,1
4051,1
91,1
3721,0
4938,0
1907,1
750,1
1910,1
1711,0
1696,1
1395,1
479,1
4803,1
893,1
1284,1
4202,1
2801,1
1415,1
2150,0
64,1
2419,1
1476,0
2660,1
1057,0
565,0
952,1
2728,1
5245,1
3563,1
2158,0
2063,0
2867,1
2979,0
3439,1
585,1
3362,1
4849,1
336,0
2917,1
2621,1
1513,1
315,1
2959,1
2378,0
3451,1
139,1
5024,0
1493,0
1166,0
2574,1
768,0
1905,1
5110,1
2331,0
3790,1
3946,1
86,1
2117,1
902,1
540,1
5093,1
1702,0
2230,1
3769,0
162,0
3264,1
4577,1
4747,1
4223,1
126,1
4241,1
1822,1
2706,1
2418,0
2122,1
321,0
734,0
1544,1
1785,0
3379,1
3912,1
2463,0
1682,1
2229,1
719,1
439,1
3943,1
1232,1
4000,0
3606,1
220,0
5262,1
1812,0
4648,0
1031,1
38,0
643,0
3798,1
2557,0
3564,1
1502,0
1184,1
129,1
5053,1
1683,1
1633,0
4309,0
1202,1
344,1
1099,1
326,0
3476,1
832,1
3080,1
2606,0
3719,0
4901,0
354,1
4379,1
2916,1
1209,0
2515,1
2651,0
