,smiles,mol_id,toxic
0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,TOX3021,1
4,CC(O)(P(=O)(O)O)P(=O)(O)O,TOX20800,0
6,O=S(=O)(Cl)c1ccccc1,TOX6619,0
7,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,TOX25232,1
12,CC(C)COC(=O)C(C)C,TOX6612,0
13,C=C(C)C(=O)OCCOC(=O)C(=C)C,TOX6615,0
14,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,TOX15748,1
15,O=C([O-])Cc1cccc2ccccc12,TOX14833,1
20,CCOc1ccc(S(=O)(=O)O)c2cccnc12,TOX26521,1
22,Nc1ccc(/N=N/c2ccccc2)cc1,TOX4460,1
23,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,TOX22631,1
26,C#CCO,TOX1883,0
28,CC(O)CC(C)(C)O,TOX1885,0
29,CC(C)(C)CC(C)(C)N,TOX1886,0
30,CC(=O)CC(C)C,TOX1889,0
31,CCCC(C)=O,TOX1888,0
32,Nc1nc2ccccc2[nH]1,TOX4465,1
33,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,TOX1106,1
34,c1ccc(-c2ccccc2)cc1,TOX161,0
35,CNC(=O)Nc1ccc(Cl)c(Cl)c1,TOX22180,1
37,CCCCNC(=S)NCCCC,TOX22187,1
38,CCCCNC(=O)NCCCC,TOX22188,0
39,CC(C)N(c1ccccc1)C(C)C,TOX22189,0
40,CCc1cccc(C)c1,TOX7876,0
42,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,TOX7875,1
43,CCCCCCCCCCC=CC1CC(=O)OC1=O,TOX7870,1
44,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,TOX4110,1
45,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],TOX4112,0
46,CCOP(=S)(CC)Sc1ccccc1,TOX4113,1
47,CC/C=C\CCCCO,TOX27698,0
48,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,TOX27695,1
49,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,TOX24280,1
50,CC(=O)CCC(C)=O,TOX10138,0
51,N#CCCNCCC#N,TOX21464,0
53,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,TOX21721,1
54,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,TOX21726,1
57,Cc1ccccc1CCO,TOX27071,0
58,Cc1nc(C)c(C)nc1C,TOX27070,0
59,CC1=CC(O)CC(C)(C)C1,TOX27072,0
60,Cc1cnc(C)c(C)n1,TOX27075,0
63,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],TOX19719,0
64,Nc1ccc(N)c([N+](=O)[O-])c1,TOX957,1
65,CC1COc2ccccc2N1,TOX24915,1
68,CC(C)CCCCCOC(=O)CCS,TOX24911,0
69,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,TOX956,0
70,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,TOX24919,1
71,C=CCOc1c(Br)cc(Br)cc1Br,TOX24918,1
73,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,TOX9733,0
74,C(=C/c1ccccc1)\c1ccccc1,TOX6050,1
76,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,TOX2968,0
77,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,TOX2967,1
78,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,TOX2614,1
79,COC(=O)C1=CCCN(C)C1,TOX2617,0
81,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],TOX5642,0
82,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],TOX5641,0
84,CCCCCC(C)O,TOX27158,0
86,NC(=O)c1ccccc1,TOX1709,0
89,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,TOX9559,0
